From/To,Embry-Riddle Aeronautical University FL,Montgomery AL,Phoenix AZ,Little Rock AR,Sacramento CA,Denver CO,Hartford CT,Dover DE,Tallahassee FL,Atlanta GA,Boise ID,Springfield IL,Indianapolis IN,Des Moines IA,Topeka KS,Frankfort KY,Baton Rouge LA,Augusta ME,Annapolis MD,Boston MA,Lansing MI,St. Paul MN,Jackson MS,Jefferson City MO,Helena MT,Lincoln NE,Carson City NV,Concord NH,Trenton NJ,Santa Fe NM,Albany NY,Raleigh NC,Bismarck ND,Columbus OH,Oklahoma City OK,Salem OR,Harrisburg PA,Providence RI,Columbia SC,Pierre SD,Nashville TN,Austin TX,Salt Lake City UT,Montpelier VT,Richmond VA,Olympia WA,Charleston WV,Madison WI,Cheyenne WY,
Embry-Riddle Aeronautical University FL,0.00,614.31,2973.82,1226.21,3841.96,2477.66,1589.06,1218.94,341.42,597.87,3496.03,1417.52,1265.71,1784.98,1732.41,1062.57,987.79,1954.22,1166.30,1716.89,1538.45,2047.83,938.78,1462.21,3302.00,1918.48,3699.23,1774.48,1353.48,2437.24,1633.28,766.99,2598.28,1211.11,1694.65,4059.16,1289.57,1651.26,535.19,2397.51,942.67,1615.06,3069.68,1835.76,987.32,4099.08,1020.21,1714.39,2524.12,
Montgomery AL,614.31,0.00,2402.69,614.11,3238.43,1863.82,1593.75,1228.80,288.52,234.55,2881.74,878.22,821.91,1212.10,1124.18,660.31,510.71,1951.75,1149.23,1740.61,1161.55,1516.15,365.00,870.15,2694.64,1317.45,3093.27,1765.08,1350.07,1843.27,1586.99,800.33,2021.52,893.63,1089.64,3444.90,1215.94,1682.94,522.10,1805.29,423.19,1111.35,2456.79,1778.21,990.29,3486.61,787.22,1219.89,1910.10,
Phoenix AZ,2973.82,2402.69,0.00,1824.48,1019.24,942.34,3558.34,3313.12,2635.85,2556.68,1185.71,2114.79,2407.84,1856.23,1593.88,2499.07,1995.14,3807.54,3229.69,3693.71,2605.07,2067.79,2044.42,1874.11,1461.11,1586.34,936.95,3658.95,3378.10,614.37,3474.61,3055.99,1764.63,2677.93,1352.16,1586.12,3198.69,3662.98,2860.19,1578.84,2322.21,1397.62,813.26,3585.31,3150.70,1764.72,2782.42,2240.05,1068.33,
Little Rock AR,1226.21,614.11,1824.48,0.00,2626.88,1252.23,1876.52,1565.66,889.72,734.49,2273.86,608.09,778.25,769.48,564.99,765.97,488.61,2193.68,1479.75,2023.67,1111.80,1137.03,334.77,426.02,2112.08,777.24,2480.49,2017.87,1657.79,1243.25,1827.21,1243.73,1517.85,1004.38,482.11,2837.30,1488.42,1978.19,1035.71,1272.20,523.07,713.62,1843.47,1987.07,1367.88,2887.50,1032.03,958.84,1306.69,
Sacramento CA,3841.96,3238.43,1019.24,2626.88,0.00,1425.52,4106.26,3935.54,3500.71,3349.68,713.45,2731.72,3027.89,2382.76,2228.84,3169.27,2903.33,4284.18,3859.29,4223.33,3123.60,2444.70,2904.52,2536.56,1178.52,2127.52,161.95,4166.88,3970.88,1412.79,4000.07,3773.94,1914.93,3290.38,2148.95,719.62,3794.16,4207.14,3631.04,1867.98,3059.76,2356.19,855.34,4065.41,3820.35,948.02,3441.58,2727.77,1447.86,
Denver CO,2477.66,1863.82,942.34,1252.23,1425.52,0.00,2715.46,2519.44,2141.94,1947.36,1024.93,1309.13,1606.92,979.62,803.79,1743.84,1622.50,2929.34,2441.23,2841.28,1736.33,1135.26,1564.43,1111.65,950.74,713.06,1268.94,2794.72,2562.97,458.22,2618.29,2349.18,856.32,1872.73,811.37,1587.71,2384.32,2818.61,2216.75,641.40,1642.16,1241.93,596.39,2707.02,2396.13,1653.71,2017.36,1349.68,156.43,
Hartford CT,1589.06,1593.75,3558.34,1876.52,4106.26,2715.46,0.00,377.11,1632.01,1359.78,3522.68,1443.96,1155.86,1735.89,1964.85,1111.22,2077.77,367.90,447.93,148.76,983.07,1683.40,1871.45,1690.44,3149.97,2003.76,3944.61,185.45,245.92,2944.10,132.95,842.41,2293.29,890.58,2259.80,4021.40,390.44,104.70,1131.96,2255.94,1367.30,2578.01,3251.23,277.47,621.85,3963.55,851.27,1378.49,2664.35,
Dover DE,1218.94,1228.80,3313.12,1565.66,3935.54,2519.44,377.11,0.00,1255.37,994.26,3395.11,1213.58,914.84,1553.96,1735.25,818.10,1722.93,744.90,85.91,517.76,855.68,1582.68,1524.54,1440.85,3056.90,1809.01,3775.47,560.30,134.62,2700.50,415.98,465.39,2211.52,646.75,1982.50,3918.06,170.14,456.80,755.31,2129.76,1044.56,2250.49,3082.46,617.76,245.22,3882.79,537.13,1239.48,2487.92,
Tallahassee FL,341.42,288.52,2635.85,889.72,3500.71,2141.94,1632.01,1255.37,0.00,368.27,3162.95,1149.21,1051.35,1495.60,1412.15,864.87,661.97,1999.00,1185.78,1772.61,1367.27,1787.86,597.43,1157.40,2982.37,1605.96,3358.32,1812.88,1386.54,2095.90,1648.87,792.73,2306.99,1065.25,1354.12,3726.35,1281.63,1710.25,500.08,2093.26,677.55,1291.14,2732.18,1848.51,1010.24,3771.69,912.53,1476.35,2193.17,
Atlanta GA,597.87,234.55,2556.68,734.49,3349.68,1947.36,1359.78,994.26,368.27,0.00,2949.01,819.66,687.61,1190.44,1168.15,496.95,737.72,1718.90,914.76,1506.40,999.03,1451.31,563.85,880.71,2726.72,1340.48,3200.01,1532.08,1115.77,1977.36,1355.49,571.58,2002.79,701.71,1215.66,3509.32,984.07,1448.52,310.82,1809.08,345.83,1316.26,2543.74,1548.47,756.22,3535.22,568.33,1124.48,1975.81,
Boise ID,3496.03,2881.74,1185.71,2273.86,713.45,1024.93,3522.68,3395.11,3162.95,2949.01,0.00,2234.32,2516.86,1855.82,1782.31,2683.70,2642.98,3665.80,3324.97,3628.86,2552.62,1839.54,2589.23,2081.79,465.53,1632.26,577.29,3563.70,3413.13,1242.89,3408.05,3299.18,1256.56,2763.89,1834.58,563.45,3242.25,3619.78,3201.19,1268.90,2627.22,2202.90,476.21,3452.20,3311.60,646.99,2938.13,2158.70,973.70,
Springfield IL,1417.52,878.22,2114.79,608.09,2731.72,1309.13,1443.96,1213.58,1149.21,819.66,2234.32,0.00,298.77,389.33,523.74,449.64,1048.54,1711.00,1133.78,1581.15,536.58,638.83,835.12,256.06,1955.77,607.71,2573.14,1552.21,1267.09,1500.44,1364.72,1065.18,1189.02,568.09,842.76,2780.59,1087.34,1548.65,1000.64,1017.33,476.17,1289.23,1884.32,1492.00,1089.11,2779.63,710.69,364.79,1289.89,
Indianapolis IN,1265.71,821.91,2407.84,778.25,3027.89,1606.92,1155.86,914.84,1051.35,687.61,2516.86,298.77,0.00,661.08,821.18,206.66,1131.97,1440.72,835.07,1296.38,355.76,809.86,905.69,535.09,2218.12,901.00,2868.83,1274.49,970.76,1793.64,1084.69,795.51,1415.67,270.48,1107.69,3056.98,791.13,1260.46,786.40,1276.07,404.64,1490.51,2178.38,1226.29,796.46,3045.68,421.32,456.16,1583.31,
Des Moines IA,1784.98,1212.10,1856.23,769.48,2382.76,979.62,1735.89,1553.96,1495.60,1190.44,1855.82,389.33,661.08,0.00,331.57,835.62,1257.29,1957.16,1479.36,1862.01,757.95,376.88,1076.71,356.75,1566.72,271.40,2222.25,1817.33,1588.70,1252.76,1639.24,1449.55,813.46,912.24,759.76,2396.92,1411.49,1838.99,1388.72,628.20,844.86,1311.72,1528.73,1734.55,1456.23,2391.48,1082.39,384.48,934.96,
